,fold,k,distance,votes,weighting,acc,corr,incorr,time
313,3,3,euclidean,sheppard,correlation,0.4689655172413793,68,77,11.413087368011475
314,4,3,euclidean,sheppard,correlation,0.4489795918367347,66,81,11.727877378463745
315,5,3,euclidean,sheppard,correlation,0.4489795918367347,66,81,11.679362773895264
316,6,3,euclidean,sheppard,correlation,0.5033557046979866,75,74,11.979592561721802
317,7,3,euclidean,sheppard,correlation,0.43537414965986393,64,83,14.894045352935791
318,8,3,euclidean,sheppard,correlation,0.54421768707483,80,67,11.711493492126465
319,9,3,euclidean,sheppard,correlation,0.46621621621621623,69,79,11.571427822113037
320,0,3,euclidean,sheppard,information_gain,0.44594594594594594,66,82,11.539096593856812
321,1,3,euclidean,sheppard,information_gain,0.43537414965986393,64,83,11.792009830474854
322,2,3,euclidean,sheppard,information_gain,0.47297297297297297,70,78,13.95342230796814
323,3,3,euclidean,sheppard,information_gain,0.46206896551724136,67,78,12.007690668106079
324,4,3,euclidean,sheppard,information_gain,0.4557823129251701,67,80,11.805673360824585
325,5,3,euclidean,sheppard,information_gain,0.4897959183673469,72,75,12.212978601455688
326,6,3,euclidean,sheppard,information_gain,0.4899328859060403,73,76,11.915021419525146
327,7,3,euclidean,sheppard,information_gain,0.4217687074829932,62,85,12.79313588142395
328,8,3,euclidean,sheppard,information_gain,0.46938775510204084,69,78,13.58415174484253
329,9,3,euclidean,sheppard,information_gain,0.44594594594594594,66,82,12.088070154190063
330,0,3,euclidean,idw,equal,0.40540540540540543,60,88,11.852449178695679
331,1,3,euclidean,idw,equal,0.41496598639455784,61,86,11.979568004608154
332,2,3,euclidean,idw,equal,0.4527027027027027,67,81,12.996212005615234
333,3,3,euclidean,idw,equal,0.4827586206896552,70,75,13.029417037963867
334,4,3,euclidean,idw,equal,0.4421768707482993,65,82,11.852538347244263
335,5,3,euclidean,idw,equal,0.4557823129251701,67,80,11.617234706878662
336,6,3,euclidean,idw,equal,0.47651006711409394,71,78,11.821205377578735
337,7,3,euclidean,idw,equal,0.4421768707482993,65,82,15.380259990692139
338,8,3,euclidean,idw,equal,0.5102040816326531,75,72,11.586803197860718
339,9,3,euclidean,idw,equal,0.4864864864864865,72,76,11.727649927139282
340,0,3,euclidean,idw,correlation,0.40540540540540543,60,88,12.04101276397705
341,1,3,euclidean,idw,correlation,0.38095238095238093,56,91,13.625428676605225
342,2,3,euclidean,idw,correlation,0.4391891891891892,65,83,16.847177743911743
343,3,3,euclidean,idw,correlation,0.4827586206896552,70,75,11.365338563919067
344,4,3,euclidean,idw,correlation,0.46258503401360546,68,79,11.727622270584106
345,5,3,euclidean,idw,correlation,0.4557823129251701,67,80,12.088943243026733
346,6,3,euclidean,idw,correlation,0.4899328859060403,73,76,14.534459352493286
347,7,3,euclidean,idw,correlation,0.42857142857142855,63,84,12.292129516601562
348,8,3,euclidean,idw,correlation,0.5170068027210885,76,71,11.663903951644897
349,9,3,euclidean,idw,correlation,0.49324324324324326,73,75,12.028874397277832
350,0,3,euclidean,idw,information_gain,0.40540540540540543,60,88,11.821363925933838
351,1,3,euclidean,idw,information_gain,0.4421768707482993,65,82,14.643745183944702
