,fold,k,distance,votes,weighting,acc,corr,incorr,time
341,1,3,euclidean,idw,correlation,0.38095238095238093,56,91,10.065048456192017
342,2,3,euclidean,idw,correlation,0.4391891891891892,65,83,10.136999368667603
343,3,3,euclidean,idw,correlation,0.4827586206896552,70,75,9.626693487167358
344,4,3,euclidean,idw,correlation,0.46258503401360546,68,79,9.815850019454956
345,5,3,euclidean,idw,correlation,0.4557823129251701,67,80,9.734959840774536
346,6,3,euclidean,idw,correlation,0.4899328859060403,73,76,9.604040622711182
347,7,3,euclidean,idw,correlation,0.42857142857142855,63,84,9.410964012145996
348,8,3,euclidean,idw,correlation,0.5170068027210885,76,71,9.417037963867188
349,9,3,euclidean,idw,correlation,0.49324324324324326,73,75,9.663985967636108
350,0,3,euclidean,idw,information_gain,0.42567567567567566,63,85,9.567946672439575
351,1,3,euclidean,idw,information_gain,0.4421768707482993,65,82,9.681225061416626
